"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test Login","Login","0","0","1","0","0"
"","","","0","0","18","0","0"
"","Tests login / profile button","Login and find profile button, then logout","0","1","0","0","0"
"","TestFooter","is logo broken","0","0","1","0","0"
"","TestViewComment","check tab title","0","0","1","0","0"
"","TestViewComment","check photo is not broken","0","0","1","0","0"
"","Title","tab title, links, rating","0","0","1","0","0"
"","Test product recommendations","title link","0","1","0","0","0"
"","Tests search","different payloads for search and suggestions","1","0","0","0","0"
"","Check photo","is photo broken","0","1","1","0","0"
"","Test product recommendations","scroll","0","0","1","0","0"
"","TestCreateComment","auth checks","0","0","1","0","0"
"","TestCreateComment","check redirect unauth add comment button","0","0","1","0","0"
"","Header navigation buttons","Checks links in buttons on right side of the header","0","0","1","0","0"
"","TestViewComment","check photo redirect","0","0","1","0","0"
"","TestViewComment","check redirect unauth add comment button","0","0","1","0","0"
"","TestViewComment","check error message. Auth add comment button","0","1","0","0","0"
